id,location_id,content,inserted_at,updated_at
47,IMG_8888.jpg,Kronk,2024-09-29 19:19:52,2024-09-29 19:19:52
48,IMG_8873.jpg,"My pet goose said ""honk"" a lot and smoked cigarettes",2024-09-29 19:22:05,2024-09-29 19:22:05
49,IMG_8891.jpg,Laughing,2024-09-29 19:22:42,2024-09-29 19:22:42
50,IMG_8864.jpg,Tea Shop,2024-09-29 19:24:09,2024-09-29 19:24:09
51,IMG_8881.jpg,Aper,2024-09-29 19:28:23,2024-09-29 19:28:23
52,IMG_8891.jpg,Skipping,2024-09-29 19:28:51,2024-09-29 19:28:51
53,IMG_8882.jpg,Stephanie ,2024-09-29 19:29:11,2024-09-29 19:29:11
54,IMG_8881.jpg,Run,2024-09-29 19:30:45,2024-09-29 19:30:45
55,IMG_8866.jpg,The computer crashed,2024-09-29 19:32:16,2024-09-29 19:32:16
56,IMG_8880.jpg,Yellow Foot,2024-09-29 19:35:14,2024-09-29 19:35:14
57,IMG_8875.jpg,"When the sun shines, it makes my skin melt. ",2024-09-29 19:49:57,2024-09-29 19:49:57
58,IMG_8883.jpg,Afternoon tea is a nice addition to a life. ,2024-09-29 19:51:01,2024-09-29 19:51:01
59,IMG_8889.jpg,Basketball,2024-09-29 19:51:28,2024-09-29 19:51:28
60,IMG_8879.jpg,It is a lively room with people chatting endlessly.,2024-09-29 20:37:44,2024-09-29 20:37:44
61,IMG_8873.jpg,My 50-year-old tortoise loves to play soccer with me.,2024-09-29 20:47:25,2024-09-29 20:47:25
62,IMG_8880.jpg,Adolf,2024-09-29 21:00:55,2024-09-29 21:00:55
63,IMG_8877.jpg,"Gandalf said he'd be here at dawn on the third day",2024-09-29 21:01:16,2024-09-29 21:01:16
64,IMG_8878.jpg,I am really craving some gaspacho right now,2024-09-29 21:01:27,2024-09-29 21:01:27
65,IMG_8872.jpg,A dark creepy forest in Poland,2024-09-29 21:02:29,2024-09-29 21:02:29
66,IMG_8872.jpg,A dark creepy forest in Poland,2024-09-29 21:02:31,2024-09-29 21:02:31
67,IMG_8877.jpg,Harry Potter drank vodka and threw up.,2024-09-29 21:03:31,2024-09-29 21:03:31
68,IMG_8871.jpg,Cellular device,2024-09-29 21:03:56,2024-09-29 21:03:56
69,IMG_8876.jpg,Vilnius University,2024-09-29 21:04:09,2024-09-29 21:04:09
70,IMG_8866.jpg,I am feeling at peace and calm,2024-09-29 21:05:17,2024-09-29 21:05:17
71,IMG_8887.jpg,Glubtuppus Wemble,2024-09-29 21:06:18,2024-09-29 21:06:18
72,IMG_8876.jpg,Lithuania,2024-09-29 21:08:46,2024-09-29 21:08:46
73,IMG_8884.jpg,Water Faucet Man,2024-09-29 21:09:49,2024-09-29 21:09:49
74,IMG_8891.jpg,caminar,2024-09-29 21:59:59,2024-09-29 21:59:59
75,IMG_8889.jpg,earth,2024-09-29 22:00:28,2024-09-29 22:00:28
76,IMG_8886.jpg,Thing,2024-09-29 22:03:27,2024-09-29 22:03:27
77,IMG_8875.jpg,It’s mild today,2024-09-29 22:04:10,2024-09-29 22:04:10
78,IMG_4565.jpg,Spider man,2024-09-29 22:06:35,2024-09-29 22:06:35
79,IMG_8869.jpg,"Which one do you like more: Trump, or a trumpet?",2024-09-29 22:16:29,2024-09-29 22:16:29
80,IMG_8892.jpg,"The computer, resting, indolent, was still churning though the data captured from the incident",2024-09-29 22:41:52,2024-09-29 22:41:52
81,IMG_8883.jpg,Looking without finding some essential information … something missing from the psyche …,2024-09-29 22:44:52,2024-09-29 22:44:52
82,IMG_8863.jpg,"James finally found the people who recognized his unique talent, the to make the simplest, most mundane gesture, posture, word or utterance, into the most funny thing you’ve ever heard ",2024-09-29 22:47:13,2024-09-29 22:47:13
83,IMG_8895.jpg,"Dreamer
33422497Rossum",2024-09-29 22:50:12,2024-09-29 22:50:12
84,IMG_8871.jpg,dancer,2024-09-29 22:50:40,2024-09-29 22:50:40
85,IMG_8877.jpg,Waving the magic wand everyone who had been asleep magicall is awoken and starts dancing ,2024-09-29 22:51:29,2024-09-29 22:51:29
86,IMG_8884.jpg,you brought me to my knees (unprompted) yet still no prompt ,2024-09-29 22:53:03,2024-09-29 22:53:03
87,IMG_8866.jpg,"trying to stitch hidden places together, there was this hole in my hunt ",2024-09-29 22:54:34,2024-09-29 22:54:34
88,IMG_8891.jpg,"you are making me walk into the sunshine. Yet more then 10 meters is a walk too far (it is not, unless a clock is ticking)",2024-09-29 22:55:49,2024-09-29 22:55:49
89,IMG_8884.jpg,got to join the performance :-S,2024-09-29 22:56:15,2024-09-29 22:56:15
90,IMG_8879.jpg,humans and dogs enclosed by walls ,2024-09-29 22:57:05,2024-09-29 22:57:05
91,IMG_8872.jpg,An opium den in Cambodia ,2024-09-29 22:57:43,2024-09-29 22:57:43
92,IMG_8888.jpg,disappeared :(,2024-09-29 22:58:20,2024-09-29 22:58:20
93,IMG_8879.jpg,A room made for dancing populated with folding tables on which rested myriad technical implements of inscrutable purpose.,2024-09-29 22:59:49,2024-09-29 22:59:49
94,IMG_8880.jpg,Silfredo,2024-09-29 23:00:19,2024-09-29 23:00:19
95,IMG_8885.jpg,"The darkness that loomed overhead, contained within the belly of one great, seeping cloud, seemed about to disgorge its innards upon the unprepared passers by",2024-09-29 23:01:47,2024-09-29 23:01:47
96,IMG_8884.jpg,Peelaskawa,2024-09-30 01:35:55,2024-09-30 01:35:55